GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologConverter,78,405,11,53,13,86,9,37,2,6
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologQuery,91,456,27,51,17,113,24,32,1,16
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologLong,7,91,0,0,2,15,1,14,1,14
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologConsole,6,6,0,0,2,2,1,1,1,1
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologJavaConverter,0,4,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologCut,1,49,2,2,0,7,2,6,0,6
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologEmpty,0,10,0,0,0,3,0,1,0,1
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologFloat,18,91,0,0,4,15,2,14,2,14
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologFalse,1,49,2,2,0,7,2,6,0,6
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologFail,1,49,2,2,0,7,2,6,0,6
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologVariable,19,44,0,2,4,13,4,8,4,7
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologDouble,7,90,0,0,2,15,1,14,1,14
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologOperator,0,6,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologFormatter,182,3,18,0,43,1,10,1,1,1
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologClause,62,35,14,0,18,6,10,2,3,2
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologTrue,1,49,2,2,0,7,2,6,0,6
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologScriptFactory,0,68,0,6,0,13,0,5,0,2
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologStructure,24,147,4,4,4,28,6,11,4,9
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologCompound,0,68,1,7,0,15,1,8,0,5
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologEngine,178,818,21,51,45,201,19,55,2,36
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiProlog,25,244,0,10,5,48,3,34,3,29
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologAtom,0,58,1,3,0,10,1,9,0,8
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologList,28,236,6,20,6,50,6,25,1,17
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologInteger,7,90,0,0,2,15,1,14,1,14
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologLogger,34,88,3,5,6,20,4,4,1,3
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologTerm,31,368,13,80,14,85,20,56,7,21
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologOperatorSet,11,127,7,15,4,35,6,11,0,6
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologList.JIPrologListIter,4,40,1,3,1,7,1,4,0,3
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologIndicator,0,5,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologNil,0,50,0,4,0,7,0,8,0,6
