GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologConverter,78,409,11,54,13,87,9,38,2,6
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologQuery,91,483,27,51,17,118,24,33,1,17
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologLong,7,81,0,0,2,13,1,12,1,12
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologConsole,6,6,0,0,2,2,1,1,1,1
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologJavaConverter,0,4,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologReference,6,59,0,4,2,18,1,10,1,8
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologUtil,5,18,3,3,3,2,4,1,1,1
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologCut,0,24,0,0,0,5,0,4,0,4
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologEmpty,0,10,0,0,0,3,0,1,0,1
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologFloat,18,81,0,0,4,13,2,12,2,12
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologFalse,0,24,0,0,0,5,0,4,0,4
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologFail,0,24,0,0,0,5,0,4,0,4
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologVariable,9,44,0,2,2,13,2,8,2,7
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologDouble,7,80,0,0,2,13,1,12,1,12
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologOperator,0,6,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologFormatter,182,3,18,0,43,1,10,1,1,1
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologClause,62,35,14,0,18,6,10,2,3,2
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologTrue,0,24,0,0,0,5,0,4,0,4
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologMap.PrologMapIterator,4,54,0,2,1,10,1,3,1,2
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologScriptFactory,0,68,0,6,0,13,0,5,0,2
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologStructure,11,134,0,4,3,27,3,10,3,8
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologCompound,0,68,1,7,0,15,1,8,0,5
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologEngine,204,884,25,53,55,219,24,60,3,42
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiProlog,44,284,0,10,9,55,4,41,4,36
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologAtom,0,32,0,0,0,8,0,6,0,6
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologEntry,22,125,12,10,8,30,10,14,0,13
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologList,28,210,5,17,6,48,5,22,1,15
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologMap,16,289,10,16,6,71,9,32,0,28
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologInteger,7,80,0,0,2,13,1,12,1,12
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologLogger,34,88,3,5,6,20,4,4,1,3
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologTerm,16,415,13,90,6,94,13,67,0,27
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologOperatorSet,11,127,7,15,4,35,6,11,0,6
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologList.JIPrologListIter,4,40,1,3,1,7,1,4,0,3
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologIndicator,0,5,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jiprolog,io.github.prolobjectlink.prolog.jiprolog,JiPrologNil,0,24,0,0,0,5,0,4,0,4
